Read_ID,Length,GC_Content,Average_Quality
SRR390728.307,36,16.666666666666664,24.97222222222222
SRR390728.308,36,33.33333333333333,24.555555555555557
SRR390728.309,36,33.33333333333333,24.27777777777778
SRR390728.310,36,27.77777777777778,22.47222222222222
SRR390728.311,36,19.444444444444446,24.944444444444443
SRR390728.312,36,19.444444444444446,24.944444444444443
SRR390728.313,36,22.22222222222222,24.86111111111111
SRR390728.314,36,27.77777777777778,24.77777777777778
SRR390728.315,36,30.555555555555557,24.833333333333332
SRR390728.316,36,27.77777777777778,24.694444444444443
SRR390728.317,36,19.444444444444446,24.944444444444443
SRR390728.318,36,27.77777777777778,23.833333333333332
SRR390728.319,36,38.88888888888889,23.055555555555557
SRR390728.320,36,30.555555555555557,24.63888888888889
SRR390728.321,36,27.77777777777778,24.77777777777778
SRR390728.322,36,27.77777777777778,23.944444444444443
SRR390728.323,36,27.77777777777778,24.833333333333332
SRR390728.324,36,22.22222222222222,24.944444444444443
SRR390728.325,36,16.666666666666664,25.02777777777778
SRR390728.326,36,22.22222222222222,24.72222222222222
SRR390728.327,36,33.33333333333333,23.833333333333332
SRR390728.328,36,22.22222222222222,24.88888888888889
SRR390728.329,36,22.22222222222222,24.77777777777778
SRR390728.330,36,33.33333333333333,24.38888888888889
SRR390728.331,36,30.555555555555557,24.63888888888889
SRR390728.332,36,50.0,24.72222222222222
SRR390728.333,36,38.88888888888889,24.583333333333332
SRR390728.334,36,44.44444444444444,24.805555555555557
SRR390728.335,36,50.0,24.833333333333332
SRR390728.336,36,52.77777777777778,24.75
SRR390728.337,36,47.22222222222222,22.11111111111111
SRR390728.338,36,66.66666666666666,24.916666666666668
SRR390728.339,36,69.44444444444444,24.555555555555557
SRR390728.340,36,66.66666666666666,24.86111111111111
SRR390728.341,36,27.77777777777778,23.944444444444443
SRR390728.342,36,25.0,24.444444444444443
SRR390728.343,36,33.33333333333333,23.77777777777778
SRR390728.344,36,25.0,24.944444444444443
SRR390728.345,36,27.77777777777778,24.805555555555557
SRR390728.346,36,30.555555555555557,23.083333333333332
SRR390728.347,36,19.444444444444446,24.166666666666668
SRR390728.348,36,13.88888888888889,24.555555555555557
SRR390728.349,36,25.0,24.833333333333332
SRR390728.350,36,33.33333333333333,24.583333333333332
SRR390728.351,36,30.555555555555557,25.02777777777778
SRR390728.352,36,30.555555555555557,24.083333333333332
SRR390728.353,36,41.66666666666667,24.86111111111111
SRR390728.354,36,27.77777777777778,24.72222222222222
SRR390728.355,36,36.11111111111111,24.166666666666668
SRR390728.356,36,30.555555555555557,24.75
SRR390728.357,36,52.77777777777778,24.833333333333332
SRR390728.358,36,66.66666666666666,24.333333333333332
SRR390728.359,36,27.77777777777778,24.88888888888889
SRR390728.360,36,27.77777777777778,24.77777777777778
SRR390728.361,36,25.0,24.944444444444443
SRR390728.362,36,72.22222222222221,24.694444444444443
SRR390728.363,36,66.66666666666666,24.444444444444443
SRR390728.364,36,30.555555555555557,23.36111111111111
SRR390728.365,36,44.44444444444444,24.944444444444443
SRR390728.366,36,66.66666666666666,24.694444444444443
SRR390728.367,36,36.11111111111111,24.694444444444443
SRR390728.368,36,25.0,25.0
SRR390728.369,36,13.88888888888889,24.916666666666668
SRR390728.370,36,13.88888888888889,24.583333333333332
SRR390728.371,36,13.88888888888889,24.916666666666668
SRR390728.372,36,13.88888888888889,24.083333333333332
SRR390728.373,36,19.444444444444446,24.77777777777778
SRR390728.374,36,5.555555555555555,24.61111111111111
SRR390728.375,36,8.333333333333332,24.52777777777778
SRR390728.376,36,27.77777777777778,24.61111111111111
SRR390728.377,36,30.555555555555557,24.805555555555557
SRR390728.378,36,22.22222222222222,24.75
SRR390728.379,36,25.0,24.61111111111111
SRR390728.380,36,47.22222222222222,24.805555555555557
SRR390728.381,36,52.77777777777778,24.833333333333332
SRR390728.382,36,27.77777777777778,24.166666666666668
SRR390728.383,36,50.0,23.583333333333332
SRR390728.384,36,52.77777777777778,24.13888888888889
SRR390728.385,36,47.22222222222222,23.833333333333332
SRR390728.386,36,22.22222222222222,23.77777777777778
SRR390728.387,36,47.22222222222222,24.38888888888889
SRR390728.388,36,33.33333333333333,23.944444444444443
SRR390728.389,36,22.22222222222222,24.02777777777778
SRR390728.390,36,36.11111111111111,14.25
SRR390728.391,36,44.44444444444444,24.805555555555557
SRR390728.392,36,44.44444444444444,24.86111111111111
SRR390728.393,36,44.44444444444444,22.97222222222222
SRR390728.394,36,33.33333333333333,24.055555555555557
SRR390728.395,36,38.88888888888889,24.72222222222222
SRR390728.396,36,16.666666666666664,24.916666666666668
SRR390728.397,36,11.11111111111111,24.36111111111111
SRR390728.398,36,47.22222222222222,24.694444444444443
SRR390728.399,36,5.555555555555555,24.944444444444443
SRR390728.400,36,30.555555555555557,22.555555555555557
SRR390728.401,36,58.333333333333336,24.805555555555557
SRR390728.402,36,36.11111111111111,24.38888888888889
SRR390728.403,36,52.77777777777778,23.61111111111111
SRR390728.404,36,22.22222222222222,24.194444444444443
SRR390728.405,36,38.88888888888889,24.75
SRR390728.406,36,47.22222222222222,24.02777777777778
SRR390728.407,36,55.55555555555556,24.11111111111111
SRR390728.408,36,55.55555555555556,24.555555555555557
SRR390728.409,36,58.333333333333336,23.02777777777778
SRR390728.410,36,55.55555555555556,24.666666666666668
SRR390728.411,36,55.55555555555556,23.75
SRR390728.412,36,55.55555555555556,23.88888888888889
SRR390728.413,36,50.0,24.916666666666668
SRR390728.414,36,50.0,24.333333333333332
SRR390728.415,36,52.77777777777778,24.805555555555557
SRR390728.416,36,50.0,24.805555555555557
SRR390728.417,36,47.22222222222222,24.5
SRR390728.418,36,38.88888888888889,24.52777777777778
SRR390728.419,36,47.22222222222222,24.944444444444443
SRR390728.420,36,36.11111111111111,24.916666666666668
SRR390728.421,36,33.33333333333333,23.416666666666668
SRR390728.422,36,52.77777777777778,24.694444444444443
SRR390728.423,36,30.555555555555557,24.805555555555557
SRR390728.424,36,52.77777777777778,22.194444444444443
SRR390728.425,36,58.333333333333336,24.27777777777778
SRR390728.426,36,52.77777777777778,24.583333333333332
SRR390728.427,36,72.22222222222221,20.166666666666668
SRR390728.428,36,41.66666666666667,23.555555555555557
SRR390728.429,36,55.55555555555556,24.583333333333332
SRR390728.430,36,50.0,24.36111111111111
SRR390728.431,36,58.333333333333336,23.52777777777778
SRR390728.432,36,55.55555555555556,24.86111111111111
